category,rank,brand,model,registrations_month
AUTOMÓVEIS,1,VW,POLO,10523
COMERCIAIS LEVES,1,FIAT,STRADA,15395
AUTOMÓVEIS,2,VW,T CROSS,9455
COMERCIAIS LEVES,2,FIAT,TORO,4405
AUTOMÓVEIS,3,HYUNDAI,HB20,8357
COMERCIAIS LEVES,3,TOYOTA,HILUX,3982
AUTOMÓVEIS,4,FIAT,ARGO,8274
COMERCIAIS LEVES,4,FORD,RANGER,3530
AUTOMÓVEIS,5,GM,ONIX,7713
COMERCIAIS LEVES,5,FIAT,FIORINO,3105
AUTOMÓVEIS,6,BYD,DOLPHIN MINI,7577
COMERCIAIS LEVES,6,VW,SAVEIRO,3099
AUTOMÓVEIS,7,VW,TERA,7574
COMERCIAIS LEVES,7,GM,S10,3008
AUTOMÓVEIS,8,HYUNDAI,CRETA,6599
COMERCIAIS LEVES,8,RAM,RAMPAGE,1858
AUTOMÓVEIS,9,BYD,SONG,6307
COMERCIAIS LEVES,9,GM,MONTANA,1542
AUTOMÓVEIS,10,VW,NIVUS,5806
COMERCIAIS LEVES,10,MITSUBISHI,TRITON,971
AUTOMÓVEIS,11,FIAT,MOBI,5728
COMERCIAIS LEVES,11,RENAULT,MASTER,839
AUTOMÓVEIS,12,RENAULT,KWID,5237
COMERCIAIS LEVES,12,RENAULT,OROCH,825
AUTOMÓVEIS,13,HYUNDAI,HB20S,5205
COMERCIAIS LEVES,13,GWM,POER,753
AUTOMÓVEIS,14,GM,TRACKER,5099
COMERCIAIS LEVES,14,RAM,DAKOTA,477
AUTOMÓVEIS,15,BYD,DOLPHIN,4963
COMERCIAIS LEVES,15,FIAT,TITANO,467
AUTOMÓVEIS,16,FIAT,PULSE,4763
COMERCIAIS LEVES,16,FORD,MAVERICK,438
AUTOMÓVEIS,17,JEEP,COMPASS,4584
COMERCIAIS LEVES,17,IVECO,DAILY,400
AUTOMÓVEIS,18,HONDA,HR-V,4549
COMERCIAIS LEVES,18,VW,AMAROK,380
AUTOMÓVEIS,19,GWM,HAVAL H6,4328
COMERCIAIS LEVES,19,FIAT,DUCATO,374
AUTOMÓVEIS,20,JEEP,RENEGADE,4323
COMERCIAIS LEVES,20,RENAULT,KANGOO,371
AUTOMÓVEIS,21,GEELY,EX2,4321
COMERCIAIS LEVES,21,KIA,K2500,368
AUTOMÓVEIS,22,FIAT,FASTBACK,4121
COMERCIAIS LEVES,22,IVECO,DAILY 30-130,358
AUTOMÓVEIS,23,GM,ONIX PLUS,3806
COMERCIAIS LEVES,23,VW TRUCK E BUS,EXPRESS,337
AUTOMÓVEIS,24,TOYOTA,YARIS CROSS,3641
