category,rank,brand,registrations_accumulated,market_share_pct
AUTOMÓVEIS,1,VW,157404,18.02
COMERCIAIS LEVES,1,FIAT,106370,47.25
AUTOMÓVEIS,2,FIAT,115502,13.22
COMERCIAIS LEVES,2,VW,21536,9.57
AUTOMÓVEIS,3,GM,95072,10.88
COMERCIAIS LEVES,3,TOYOTA,20436,9.08
AUTOMÓVEIS,4,HYUNDAI,80223,9.18
COMERCIAIS LEVES,4,GM,18947,8.42
AUTOMÓVEIS,5,BYD,77447,8.87
COMERCIAIS LEVES,5,FORD,17271,7.67
AUTOMÓVEIS,6,JEEP,46163,5.28
COMERCIAIS LEVES,6,RAM,11867,5.27
AUTOMÓVEIS,7,TOYOTA,45035,5.16
COMERCIAIS LEVES,7,RENAULT,10419,4.63
AUTOMÓVEIS,8,HONDA,43507,4.98
COMERCIAIS LEVES,8,MITSUBISHI,4297,1.91
AUTOMÓVEIS,9,RENAULT,42586,4.87
COMERCIAIS LEVES,9,GWM,2497,1.11
AUTOMÓVEIS,10,NISSAN,30028,3.44
COMERCIAIS LEVES,10,IVECO,2086,0.93
AUTOMÓVEIS,11,CAOA CHERY,29861,3.42
COMERCIAIS LEVES,11,KIA,1764,0.78
AUTOMÓVEIS,12,GWM,25995,2.98
COMERCIAIS LEVES,12,EFFA,1338,0.59
AUTOMÓVEIS,13,CITROEN,14134,1.62
COMERCIAIS LEVES,13,PEUGEOT,1299,0.58
AUTOMÓVEIS,14,GEELY,12310,1.41
COMERCIAIS LEVES,14,VW TRUCK E BUS,1111,0.49
AUTOMÓVEIS,15,OMODA JAECOO,11973,1.37
COMERCIAIS LEVES,15,NISSAN,845,0.38
AUTOMÓVEIS,16,PEUGEOT,6399,0.73
COMERCIAIS LEVES,16,CITROEN,824,0.37
AUTOMÓVEIS,17,BMW,5926,0.68
COMERCIAIS LEVES,17,M.BENZ,694,0.31
AUTOMÓVEIS,18,FORD,5333,0.61
COMERCIAIS LEVES,18,FOTON,595,0.26
AUTOMÓVEIS,19,GAC,3458,0.4
COMERCIAIS LEVES,19,BYD,338,0.15
AUTOMÓVEIS,20,VOLVO,3334,0.38
COMERCIAIS LEVES,20,SHINERAY,194,0.09
AUTOMÓVEIS,21,MITSUBISHI,3266,0.37
COMERCIAIS LEVES,21,JAC,187,0.08
AUTOMÓVEIS + COMERCIAIS LEVES,1,FIAT,221872,20.19
AUTOMÓVEIS + COMERCIAIS LEVES,2,VW,178940,16.29
AUTOMÓVEIS + COMERCIAIS LEVES,3,GM,114019,10.38
AUTOMÓVEIS + COMERCIAIS LEVES,4,HYUNDAI,80298,7.31
AUTOMÓVEIS + COMERCIAIS LEVES,5,BYD,77785,7.08
AUTOMÓVEIS + COMERCIAIS LEVES,6,TOYOTA,65471,5.96
AUTOMÓVEIS + COMERCIAIS LEVES,7,RENAULT,53005,4.82
AUTOMÓVEIS + COMERCIAIS LEVES,8,JEEP,46164,4.2
AUTOMÓVEIS + COMERCIAIS LEVES,9,HONDA,43507,3.96
AUTOMÓVEIS + COMERCIAIS LEVES,10,NISSAN,30873,2.81
AUTOMÓVEIS + COMERCIAIS LEVES,11,CAOA CHERY,29861,2.72
AUTOMÓVEIS + COMERCIAIS LEVES,12,GWM,28492,2.59
AUTOMÓVEIS + COMERCIAIS LEVES,13,FORD,22604,2.06
AUTOMÓVEIS + COMERCIAIS LEVES,14,CITROEN,14958,1.36
AUTOMÓVEIS + COMERCIAIS LEVES,15,GEELY,12310,1.12
AUTOMÓVEIS + COMERCIAIS LEVES,16,OMODA JAECOO,11973,1.09
AUTOMÓVEIS + COMERCIAIS LEVES,17,RAM,11867,1.08
AUTOMÓVEIS + COMERCIAIS LEVES,18,PEUGEOT,7698,0.7
AUTOMÓVEIS + COMERCIAIS LEVES,19,MITSUBISHI,7563,0.69
AUTOMÓVEIS + COMERCIAIS LEVES,20,BMW,5926,0.54
AUTOMÓVEIS + COMERCIAIS LEVES,21,M.BENZ,3735,0.34
