category,rank,brand,registrations_month,market_share_pct
AUTOMÓVEIS,1,VW,39505,18.43
COMERCIAIS LEVES,1,FIAT,24021,48.29
AUTOMÓVEIS,2,FIAT,25625,11.96
COMERCIAIS LEVES,2,GM,4581,9.21
AUTOMÓVEIS,3,GM,23172,10.81
COMERCIAIS LEVES,3,FORD,4301,8.65
AUTOMÓVEIS,4,BYD,21674,10.11
COMERCIAIS LEVES,4,TOYOTA,4165,8.37
AUTOMÓVEIS,5,HYUNDAI,20234,9.44
COMERCIAIS LEVES,5,VW,3479,6.99
AUTOMÓVEIS,6,TOYOTA,10654,4.97
COMERCIAIS LEVES,6,RAM,2514,5.05
AUTOMÓVEIS,7,JEEP,10395,4.85
COMERCIAIS LEVES,7,RENAULT,2037,4.1
AUTOMÓVEIS,8,HONDA,10288,4.8
COMERCIAIS LEVES,8,MITSUBISHI,971,1.95
AUTOMÓVEIS,9,RENAULT,9023,4.21
COMERCIAIS LEVES,9,IVECO,772,1.55
AUTOMÓVEIS,10,NISSAN,6935,3.24
COMERCIAIS LEVES,10,GWM,753,1.51
AUTOMÓVEIS,11,GWM,6685,3.12
COMERCIAIS LEVES,11,KIA,370,0.74
AUTOMÓVEIS,12,CAOA CHERY,6660,3.11
COMERCIAIS LEVES,12,VW TRUCK E BUS,337,0.68
AUTOMÓVEIS,13,GEELY,5173,2.41
COMERCIAIS LEVES,13,EFFA,291,0.59
AUTOMÓVEIS,14,CITROEN,4308,2.01
COMERCIAIS LEVES,14,CITROEN,267,0.54
AUTOMÓVEIS,15,OMODA JAECOO,3176,1.48
COMERCIAIS LEVES,15,PEUGEOT,265,0.53
AUTOMÓVEIS,16,PEUGEOT,1463,0.68
COMERCIAIS LEVES,16,NISSAN,186,0.37
AUTOMÓVEIS,17,BMW,1244,0.58
COMERCIAIS LEVES,17,M.BENZ,157,0.32
AUTOMÓVEIS,18,CAOA CHANGAN,1164,0.54
COMERCIAIS LEVES,18,FOTON,127,0.26
AUTOMÓVEIS,19,FORD,927,0.43
COMERCIAIS LEVES,19,RIDDARA,42,0.08
AUTOMÓVEIS,20,LEAPMOTOR,893,0.42
COMERCIAIS LEVES,20,JAC,35,0.07
AUTOMÓVEIS,21,JETOUR,691,0.32
COMERCIAIS LEVES,21,BYD,30,0.06
AUTOMÓVEIS + COMERCIAIS LEVES,1,FIAT,49646,18.8
AUTOMÓVEIS + COMERCIAIS LEVES,2,VW,42984,16.28
AUTOMÓVEIS + COMERCIAIS LEVES,3,GM,27753,10.51
AUTOMÓVEIS + COMERCIAIS LEVES,4,BYD,21704,8.22
AUTOMÓVEIS + COMERCIAIS LEVES,5,HYUNDAI,20239,7.67
AUTOMÓVEIS + COMERCIAIS LEVES,6,TOYOTA,14819,5.61
AUTOMÓVEIS + COMERCIAIS LEVES,7,RENAULT,11060,4.19
AUTOMÓVEIS + COMERCIAIS LEVES,8,JEEP,10395,3.94
AUTOMÓVEIS + COMERCIAIS LEVES,9,HONDA,10288,3.9
AUTOMÓVEIS + COMERCIAIS LEVES,10,GWM,7438,2.82
AUTOMÓVEIS + COMERCIAIS LEVES,11,NISSAN,7121,2.7
AUTOMÓVEIS + COMERCIAIS LEVES,12,CAOA CHERY,6660,2.52
AUTOMÓVEIS + COMERCIAIS LEVES,13,FORD,5228,1.98
AUTOMÓVEIS + COMERCIAIS LEVES,14,GEELY,5173,1.96
AUTOMÓVEIS + COMERCIAIS LEVES,15,CITROEN,4575,1.73
AUTOMÓVEIS + COMERCIAIS LEVES,16,OMODA JAECOO,3176,1.2
AUTOMÓVEIS + COMERCIAIS LEVES,17,RAM,2514,0.95
AUTOMÓVEIS + COMERCIAIS LEVES,18,PEUGEOT,1728,0.65
AUTOMÓVEIS + COMERCIAIS LEVES,19,MITSUBISHI,1562,0.59
AUTOMÓVEIS + COMERCIAIS LEVES,20,BMW,1244,0.47
AUTOMÓVEIS + COMERCIAIS LEVES,21,CAOA CHANGAN,1164,0.44
