segment,rank,brand,model,registrations_april_2026,registrations_may_2026,registrations_accumulated_2026,market_share_pct
Veículos de Entrada,1,FIAT,MOBI,5361,5728,28420,52.04
Veículos de Entrada,2,RENAULT,KWID,6451,5237,25948,47.51
Veículos de Entrada,3,RENAULT,E-KWID,14,2,217,0.4
Veículos de Entrada,4,FIAT,UNO,3,2,10,0.02
Veículos de Entrada,5,VW,GOL,1,0,7,0.01
Veículos de Entrada,6,GM,CHEVETTE,0,1,3,0.01
Veículos de Entrada,7,FIAT,PALIO,0,0,2,0.0
Veículos de Entrada,8,FORD,KA,0,2,2,0.0
Veículos de Entrada,9,GM,CELTA,0,0,2,0.0
Hatch Pequenos,1,VW,POLO,8366,10523,43153,19.93
Hatch Pequenos,2,GM,ONIX,7847,7713,37137,17.15
Hatch Pequenos,3,FIAT,ARGO,7990,8274,36199,16.72
Hatch Pequenos,4,HYUNDAI,HB20,6764,8357,32021,14.79
Hatch Pequenos,5,BYD,DOLPHIN MINI,6877,7577,29215,13.49
Hatch Pequenos,6,BYD,DOLPHIN,3021,4963,12536,5.79
Hatch Pequenos,7,GEELY,EX2,3602,4321,10397,4.8
Hatch Pequenos,8,CITROEN,C3,1227,1267,5634,2.6
Hatch Pequenos,9,HONDA,CITY HATCH,826,964,4894,2.26
Hatch Pequenos,10,PEUGEOT,208,467,508,2618,1.21
Hatch Pequenos,11,GWM,ORA 03,365,490,1587,0.73
Hatch Pequenos,12,MG,MG4,143,157,561,0.26
Hatch Médios,1,VW,GOLF,19,195,220,47.21
Hatch Médios,2,TOYOTA,GR YARIS,14,71,85,18.24
Hatch Médios,3,AUDI,A3,14,9,75,16.09
Hatch Médios,4,BMW,M135I,15,11,61,13.09
Hatch Médios,5,HONDA,CIVIC TYPE-R,1,1,10,2.15
Hatch Médios,6,M.BENZ,A45 AMG,1,0,5,1.07
Sedans Pequenos,1,HYUNDAI,HB20S,4054,5205,17349,64.19
Sedans Pequenos,2,FIAT,CRONOS,1589,2734,9665,35.76
Sedans Pequenos,3,FORD,KA SEDAN,1,0,5,0.02
Sedans Pequenos,4,FIAT,SIENA,0,0,2,0.01
Sedans Pequenos,5,FORD,FIESTA SEDAN,1,0,1,0.0
Sedans Pequenos,6,GM,PRISMA,0,0,1,0.0
Sedans Pequenos,7,NISSAN,VERSA,0,0,1,0.0
Sedans Pequenos,8,RENAULT,LOGAN,0,0,1,0.0
Sedans Pequenos,9,TOYOTA,ETIOS SEDAN,0,0,1,0.0
Sedans Compactos,1,GM,ONIX PLUS,3856,3806,16446,42.46
Sedans Compactos,2,VW,VIRTUS,2768,2931,13243,34.19
Sedans Compactos,3,HONDA,CITY,1226,1502,5932,15.31
Sedans Compactos,4,NISSAN,VERSA,552,357,3110,8.03
Sedans Compactos,5,TOYOTA,YARIS SEDAN,1,0,2,0.01
Sedans Compactos,6,FORD,CORCEL,0,0,1,0.0
Sedans médios,1,TOYOTA,COROLLA,2410,2217,11074,54.66
Sedans médios,2,BYD,KING,1645,1896,6555,32.36
Sedans médios,3,VW,JETTA,126,148,716,3.53
Sedans médios,4,BYD,SEAL,74,121,634,3.13
Sedans médios,5,AUDI,A5,64,51,354,1.75
Sedans médios,6,NISSAN,SENTRA,54,28,332,1.64
Sedans médios,7,BMW,M235I,15,14,103,0.51
Sedans médios,8,AUDI,A3 SEDAN,16,23,94,0.46
Sedans médios,9,CAOA CHERY,ARRIZO 6,4,5,67,0.33
Sedans médios,10,AUDI,RS3,10,23,65,0.32
Sedans médios,11,GAC,AION ES,9,4,58,0.29
Sedans médios,12,BMW,420I,16,10,54,0.27
Sedans médios,13,M.BENZ,CLA200,9,2,53,0.26
Sedans médios,14,BMW,220,9,5,46,0.23
