table_year,categoria,marca,modelo,versao,motor,propulsao,transmissao,combustivel,kml_etanol_cidade,kml_etanol_estrada,kml_gasolina_cidade,kml_gasolina_estrada,kml_eletrico_cidade,kml_eletrico_estrada,consumo_mj_km,autonomia_eletrica_km,classificacao_pbe,classificacao_geral,selo_conpet
2022,Sub Compacto,CAOA CHERY,ICAR EQ1,TEC,Elétrico,Elétrico,A,E,,,,,48.8,36.8,0.48,,A,A,-
2022,Sub Compacto,FIAT,500E,ICON,Elétrico,Elétrico,A-1,E,,,,,47.3,40.4,0.46,,A,A,-
2022,Sub Compacto,FIAT,MOBI,EASY,1.0-8V,Combustão,M-5,F,9.8,11.0,14.2,15.5,,,1.44,,B,B,-
2022,Sub Compacto,FIAT,MOBI,TREKKING,1.0-8V,Combustão,M-5,F,9.6,10.4,13.5,15.0,,,1.50,,C,B,-
2022,Sub Compacto,FIAT,MOBI,LIKE,1.0-8V,Combustão,M-5,F,9.6,10.4,13.5,15.0,,,1.50,,C,B,-
2022,Sub Compacto,Jac,e-JS1,e-JS1,Elétrico,Elétrico,A,E,,,,,40.9,30.3,0.57,,A,A,-
2022,Sub Compacto,Jac,e-JS1,e-JS1 EXT,Elétrico,Elétrico,A,E,,,,,40.9,30.3,0.57,,A,A,-
2022,Sub Compacto,Jac,IEV 20,iEV20,Elétrico,Elétrico,A,E,,,,,36.5,33.3,0.58,,A,A,-
2022,Sub Compacto,Renault,E-KWID,INTENS,Elétrico,Elétrico,A,E,,,,,52.7,39.6,0.44,,A,A,-
2022,Compacto,FIAT,ARGO,1.0,1.0-6V,Combustão,M-5,F,9.6,10.6,13.6,15.1,,,1.49,,A,B,SIM
2022,Compacto,FIAT,ARGO,DRIVE,1.0-6V,Combustão,M-5,F,9.8,11.0,14.1,15.8,,,1.43,,A,B,SIM
2022,Compacto,FIAT,ARGO,DRIVE,1.3-8V,Combustão,M-5,F,9.1,10.5,13.1,15.0,,,1.54,,B,B,-
2022,Compacto,Hyundai,HB20,Sense,1.0-12V,Combustão,M-5,F,9.8,10.7,13.1,15.0,,,1.50,,A,B,SIM
2022,Compacto,Hyundai,HB20,Vision,1.0-12V,Combustão,M-5,F,9.8,10.7,13.1,15.0,,,1.50,,A,B,SIM
2022,Compacto,Hyundai,HB20,Evolution,1.0-12V,Combustão,M-5,F,9.8,10.7,13.1,15.0,,,1.50,,A,B,SIM
2022,Compacto,Hyundai,HB20,Sport,1.0-12V T,Combustão,A-6,F,8.6,10.2,12.2,14.4,,,1.63,,C,B,-
2022,Compacto,Hyundai,HB20,Vision,1.0-12V T,Combustão,A-6,F,8.6,10.2,12.2,14.3,,,1.64,,C,B,-
2022,Compacto,Hyundai,HB20,Platinum,1.0-12V T,Combustão,A-6,F,8.6,10.2,12.2,14.3,,,1.64,,C,B,-
2022,Compacto,Hyundai,HB20,Platinum Plus,1.0-12V T,Combustão,A-6,F,8.6,10.2,12.2,14.3,,,1.64,,C,B,-
2022,Compacto,Hyundai,HB20,Platinum,1.0-12V T,Combustão,M-6,F,9.5,10.9,13.7,15.5,,,1.47,,A,B,SIM
2022,Compacto,MINI,Cooper,S Electric,Elétrico,Elétrico,A,E,,,,,38.5,31.8,0.58,,A,A,-
2022,Compacto,MINI,Cooper,S 5P,2.0 - 16V,Combustão,DCT-7,G,,,10.3,13.2,,,1.91,,E,C,-
2022,Compacto,MINI,JCW,Hatch 3P,2.0 - 16V,Combustão,A-8,G,,,10.3,13.9,,,1.88,,E,C,-
2022,Compacto,MINI,Cooper,S 3P,2.0 - 16V,Combustão,DCT-7,G,,,10.3,13.4,,,1.90,,E,C,-
2022,Compacto,PEUGEOT,E-208,GT,Elétrico,Elétrico,A-1,E,,,,,37.8,30.8,0.59,,A,A,-
2022,Compacto,PEUGEOT,208,ACTIVE AT1,1.6-16V,Combustão,A-6,F,7.7,9.1,11.1,12.9,,,1.82,,E,C,-
2022,Compacto,PEUGEOT,208,ALLURE AT,1.6-16V,Combustão,A-6,F,7.7,9.1,11.1,12.9,,,1.82,,E,C,-
2022,Compacto,PEUGEOT,208,GRIFFE AT,1.6-16V,Combustão,A-6,F,7.7,9.1,11.1,12.9,,,1.82,,E,C,-
2022,Compacto,PEUGEOT,208,LIKE MT,1.0-6V,Combustão,MT-5,F,10.4,11.3,14.7,16.3,,,1.37,,A,B,SIM
2022,Compacto,PEUGEOT,208,STYLE MT,1.0-6V,Combustão,MT-5,F,9.6,11.0,13.6,15.5,,,1.47,,A,B,SIM
2022,Compacto,Renault,Sandero,SEDTION BS,1.0-12V,Combustão,M-5,F,10.0,10.2,13.9,14.7,,,1.48,,A,B,SIM
2022,Compacto,Renault,Sandero,SEDITION,1.0-12V,Combustão,M-5,F,10.0,10.2,13.9,14.7,,,1.48,,A,B,SIM
2022,Compacto,Renault,Sandero,LIFE10MT,1.0-12V,Combustão,M-5,F,10.0,10.2,13.9,14.7,,,1.48,,A,B,SIM
2022,Compacto,Renault,Sandero,RLIN,1.0-12V,Combustão,M-5,F,10.0,10.2,13.9,14.7,,,1.48,,A,B,SIM
2022,Compacto,Renault,Sandero,ZEN10MT,1.0-12V,Combustão,M-5,F,10.0,10.2,13.9,14.7,,,1.48,,A,B,SIM
2022,Compacto,VW,GOL,MPI,1.0-12V,Combustão,M - 5,F,9.4,10.7,13.7,15.2,,,1.49,,A,B,SIM
2022,Médio,AUDI,A3 Sportback,S line,2.0 - 16V,Híbrido,A-7,G,,,10.2,12.4,,,1.98,,E,C,-
2022,Médio,AUDI,A3 Sportback,Performance Black (ed.0),2.0 - 16V,Híbrido,A-7,G,,,10.2,12.4,,,1.98,,E,C,-
2022,Médio,AUDI,A3 Sportback,S line,2.0 - 16V,Híbrido,A-7,G,,,10.0,11.9,,,2.03,,E,C,-
2022,Médio,AUDI,A3 Sportback,Performance Black,2.0 - 16V,Híbrido,A-7,G,,,10.0,11.9,,,2.03,,E,C,-
2022,Médio,BMW,118i,-,1.5 - 12V,Combustão,DCT-7,G,,,11.5,13.0,,,1.78,,C,C,-
2022,Médio,BMW,i3,120Ah BEV,Elétrico,Elétrico,A,E,,,,,47.7,39.4,0.47,,A,A,-
2022,Médio,CHEVROLET,BOLT,LT,Elétrico,Elétrico,A,E,,,,,45.3,36.3,0.50,,A,A,-
2022,Médio,CHEVROLET,BOLT,PREMIER,Elétrico,Elétrico,A,E,,,,,45.3,36.3,0.50,,A,A,-
2022,Médio,CHEVROLET,ONIX,10MT HB MY 22/22,1.0 - 12 V,Combustão,M-6,F,9.5,12.0,13.8,16.6,,,1.42,,A,B,SIM
2022,Médio,CHEVROLET,ONIX,10MT LT1 MY 22/22,1.0 - 12 V,Combustão,M-6,F,9.5,12.0,13.8,16.6,,,1.42,,A,B,SIM
2022,Médio,CHEVROLET,ONIX,10MT LT2 22/22,1.0 - 12 V,Combustão,M-6,F,9.5,12.0,13.8,16.6,,,1.42,,A,B,SIM
2022,Médio,CHEVROLET,ONIX,10MT HB MY 22/23,1.0 - 12 V,Combustão,M-7,F,9.4,11.6,13.3,16.6,,,1.45,,A,B,SIM
2022,Médio,CHEVROLET,ONIX,10MT LT1 MY 22/23,1.0 - 12 V,Combustão,M-8,F,9.4,11.6,13.3,16.6,,,1.45,,A,B,SIM
2022,Médio,CHEVROLET,ONIX,10MT LT2 MY 22/23,1.0 - 12 V,Combustão,M-9,F,9.4,11.6,13.3,16.6,,,1.45,,A,B,SIM
2022,Médio,CHEVROLET,ONIX,10TAT HB,1.0T - 12 V,Combustão,A-6,F,8.4,10.4,11.9,15.1,,,1.64,,B,B,-
2022,Médio,CHEVROLET,ONIX,10TAT LT1,1.0T - 12 V,Combustão,A-6,F,8.4,10.4,11.9,15.1,,,1.64,,B,B,-
2022,Médio,CHEVROLET,ONIX,10TAT LTZ,1.0T - 12 V,Combustão,A-6,F,8.4,10.4,11.9,15.1,,,1.64,,B,B,-
2022,Médio,CHEVROLET,ONIX,10TAT PR2,1.0T - 12 V,Combustão,A-6,F,8.4,10.4,11.9,15.1,,,1.64,,B,B,-
2022,Médio,CHEVROLET,ONIX,10TAT RS,1.0T - 12 V,Combustão,A-6,F,8.2,9.8,11.8,14.0,,,1.70,,C,B,-
2022,Médio,CHEVROLET,ONIX,10TMT LT1,1.0T - 12 V,Combustão,M-6,F,9.1,11.1,13.1,16.1,,,1.50,,A,B,SIM
2022,Médio,CHEVROLET,ONIX,10TMT LTZ,1.0T - 12 V,Combustão,M-6,F,9.1,11.1,13.1,16.1,,,1.50,,A,B,SIM
2022,Médio,CHEVROLET,ONIX PLUS,10MT LT1 MY 22/22,1.0 - 12 V,Combustão,M-6,F,9.6,12.5,13.8,17.6,,,1.38,,A,B,SIM
2022,Médio,CHEVROLET,ONIX PLUS,10MT LT2 MY 22/22,1.0 - 12 V,Combustão,M-6,F,9.6,12.5,13.8,17.6,,,1.38,,A,B,SIM
2022,Médio,CHEVROLET,ONIX PLUS,10MT LT1 MY 22/23,1.0 - 12 V,Combustão,M-6,F,9.5,12.4,13.6,17.5,,,1.40,,A,B,SIM
2022,Médio,CHEVROLET,ONIX PLUS,10MT LT2 MY 22/23,1.0 - 12 V,Combustão,M-6,F,9.5,12.4,13.6,17.5,,,1.40,,A,B,SIM
2022,Médio,CHEVROLET,ONIX PLUS,10TAT NB,1.0T - 12 V,Combustão,A-6,F,8.4,12.2,12.3,16.8,,,1.53,,A,B,SIM
2022,Médio,CHEVROLET,ONIX PLUS,10TAT LT1,1.0T - 12 V,Combustão,A-6,F,8.4,12.2,12.3,16.8,,,1.53,,A,B,SIM
2022,Médio,CHEVROLET,ONIX PLUS,10TAT LTZ,1.0T - 12 V,Combustão,A-6,F,8.4,12.2,12.3,16.8,,,1.53,,A,B,SIM
2022,Médio,CHEVROLET,ONIX PLUS,10TAT PR2,1.0T - 12 V,Combustão,A-6,F,8.4,12.2,12.3,16.8,,,1.53,,A,B,SIM
2022,Médio,CHEVROLET,ONIX PLUS,10TMT LT1,1.0T - 12 V,Combustão,M-6,F,9.3,11.8,13.4,16.9,,,1.44,,A,B,SIM
2022,Médio,CHEVROLET,ONIX PLUS,10TMT LTZ,1.0T - 12 V,Combustão,M-6,F,9.3,11.8,13.4,16.9,,,1.44,,A,B,SIM
2022,Médio,CHEVROLET,SPIN,1.8L AT LS,1.8L -8V,Combustão,A-6,F,7.2,8.9,10.5,12.9,,,1.91,,D,C,-
2022,Médio,CHEVROLET,SPIN,1.8L AT LT,1.8L -8V,Combustão,A-6,F,7.2,8.9,10.5,12.9,,,1.91,,D,C,-
2022,Médio,CHEVROLET,SPIN,1.8L AT ACT,1.8L -8V,Combustão,A-6,F,6.9,8.7,10.0,12.4,,,2.00,,E,C,-
2022,Médio,CHEVROLET,SPIN,1.8L AT LTZ5,1.8L -8V,Combustão,A-6,F,6.9,8.7,10.0,12.4,,,2.00,,E,C,-
2022,Médio,CHEVROLET,SPIN,1.8L AT ACT,1.8L -8V,Combustão,A-6,F,6.9,8.6,9.8,12.3,,,2.02,,E,C,-
2022,Médio,CHEVROLET,SPIN,1.8L AT LT / 1.8L AT LS,1.8L -8V,Combustão,A-6,F,7.2,8.8,10.2,12.6,,,1.94,,D,C,-
2022,Médio,CHEVROLET,SPIN,1.8L AT LTZ5,1.8L -8V,Combustão,A-6,F,6.9,8.6,9.8,12.3,,,2.02,,E,C,-
2022,Médio,FIAT,CRONOS,DRIVE,1.3-8V,Combustão,M-5,F,9.1,11.2,13.0,15.9,,,1.50,,A,B,SIM
2022,Médio,FIAT,CRONOS,1.3,1.3-8V,Combustão,M-5,F,9.1,11.2,13.0,15.9,,,1.50,,A,B,SIM
2022,Médio,HONDA,CITY,EX,1.5-16V,Combustão,CVT,F,9.2,10.5,13.1,15.2,,,1.53,,A,B,SIM
2022,Médio,HONDA,CITY,EXL,1.5-16V,Combustão,CVT,F,9.2,10.5,13.1,15.2,,,1.53,,A,B,SIM
2022,Médio,HONDA,CITY,TOURING,1.5-16V,Combustão,CVT,F,9.2,10.5,13.1,15.2,,,1.53,,A,B,SIM
2022,Médio,HONDA,CITY HATCH,EXL,1.5-16V,Combustão,CVT,F,9.1,10.5,13.3,14.8,,,1.53,,A,B,SIM
2022,Médio,HONDA,CITY HATCH,TOURING,1.5-16V,Combustão,CVT,F,9.1,10.5,13.3,14.8,,,1.53,,A,B,SIM
2022,Médio,HONDA,HR-V,EX HONDA SENSING,1.5-16V,Combustão,CVT,F,8.8,9.8,12.7,13.9,,,1.62,,B,B,-
2022,Médio,HONDA,HR-V,EXL HONDA SENSING,1.5-16V,Combustão,CVT,F,8.8,9.8,12.7,13.9,,,1.62,,B,B,-
2022,Médio,HONDA,HR-V,ADVANCE,1.5T-16V,Combustão,CVT,F,7.9,8.8,11.3,12.6,,,1.83,,D,C,-
2022,Médio,HONDA,HR-V,TOURING,1.5T-16V,Combustão,CVT,F,7.9,8.8,11.3,12.6,,,1.83,,D,C,-
2022,Médio,Hyundai,HB20S,Vision,1.0-12V,Combustão,M-5,F,10.0,10.6,13.7,15.2,,,1.46,,A,B,SIM
2022,Médio,Hyundai,HB20S,Evolution,1.0-12V,Combustão,M-5,F,10.0,10.6,13.7,15.2,,,1.46,,A,B,SIM
2022,Médio,Hyundai,HB20S,Vision,1.0-12V T,Combustão,A-6,F,8.6,10.9,12.3,15.5,,,1.58,,B,B,-
2022,Médio,Hyundai,HB20S,Platinum,1.0-12V T,Combustão,A-6,F,8.6,10.9,12.3,15.5,,,1.58,,B,B,-
2022,Médio,Hyundai,HB20S,Platinum Plus,1.0-12V T,Combustão,A-6,F,8.6,10.9,12.3,15.5,,,1.58,,B,B,-
2022,Médio,Hyundai,HB20S,Platinum,1.0-12V T,Combustão,M-6,F,10.1,11.9,14.3,16.9,,,1.37,,A,B,SIM
2022,Médio,HYUNDAI,IONIQ,HEV,1.6-16V,Híbrido,Automática,G,,,18.9,18.8,,,1.09,,A,A,SIM
2022,Médio,KIA,STONIC,MHEV EX,1.0 - 12V,Híbrido,DCT-7,G,,,13.7,13.8,,,1.55,,B,B,-
2022,Médio,KIA,STONIC,LX,1.0 - 12V,Híbrido,DCT-7,G,,,13.7,13.8,,,1.55,,B,B,-
2022,Médio,KIA,STONIC,SX,1.0 - 12V,Híbrido,DCT-7,G,,,13.7,13.8,,,1.55,,B,B,-
2022,Médio,KIA,STONIC,GT,1.0 - 12V,Híbrido,DCT-7,G,,,13.7,13.8,,,1.55,,B,B,-
2022,Médio,Mercedes-Benz,A250,,2.0-16V,Combustão,DCT-7,G,,,9.7,13.5,,,1.97,,E,C,-
2022,Médio,Mercedes-Benz,AMG A35 4MATIC,,2.0-16V,Combustão,DCT-7,G,,,8.7,11.7,,,2.25,,E,C,-
2022,Médio,MINI,Countryman,JCW,2.0 - 16V,Combustão,A-8,G,,,8.8,10.8,,,2.29,,E,C,-
2022,Médio,MINI,Countryman,PHEV,1.5 - 12V,Plug-in,A-6,G,,,23.3,27.0,,,0.80,,A,A,SIM
2022,Médio,Renault,Zoe,Life,Elétrico,Elétrico,A,E,,,,,34.4,27.4,0.66,,A,A,-
2022,Médio,Renault,Zoe,Intense,Elétrico,Elétrico,A,E,,,,,34.4,27.4,0.66,,A,A,-
2022,Médio,Renault,Logan,ZEN16CVT,1.6-16V,Combustão,CVT,F,7.4,8.5,10.7,12.2,,,1.92,,D,C,-
2022,Médio,Renault,Logan,LIFE,1.0-12V,Combustão,M-5,F,9.6,9.8,13.6,14.4,,,1.53,,A,B,SIM
2022,Médio,Renault,Logan,ZEN,1.0-12V,Combustão,M-5,F,9.6,9.8,13.6,14.4,,,1.53,,A,B,SIM
2022,Médio,TOYOTA,YARIS HATCHBACK,XS,1.5 - 16V,Combustão,CVT,F,8.7,9.8,12.2,13.9,,,1.65,,B,B,-
2022,Médio,TOYOTA,YARIS HATCHBACK,XL,1.5 - 16V,Combustão,CVT,F,8.7,9.8,12.2,13.9,,,1.65,,B,B,-
2022,Médio,TOYOTA,YARIS HATCHBACK,XLS,1.5 - 16V,Combustão,CVT,F,8.7,9.8,12.2,13.9,,,1.65,,B,B,-
2022,Médio,TOYOTA,YARIS SEDÃ,XS,1.5 - 16V,Combustão,CVT,F,8.9,10.5,12.9,14.7,,,1.56,,B,B,-
2022,Médio,TOYOTA,YARIS SEDÃ,XL,1.5 - 16V,Combustão,CVT,F,8.9,10.5,12.9,14.7,,,1.56,,B,B,-
2022,Médio,TOYOTA,YARIS SEDÃ,XLS,1.5 - 16V,Combustão,CVT,F,8.9,10.5,12.9,14.7,,,1.56,,B,B,-
2022,Médio,VW,T CROSS,SENSE 200 TSI AUTOMATICO,1.0-12V,Combustão,A - 6,F,8.3,10.0,12.0,14.4,,,1.66,,B,B,-
2022,Médio,VW,T CROSS,200TSI AUTOMÁTICO,1.0-12V,Combustão,A - 6,F,8.3,10.0,12.0,14.4,,,1.66,,B,B,-
2022,Médio,VW,T CROSS,COMFORTLINE 200TSI AUTOMÁTICO,1.0-12V,Combustão,A - 6,F,8.3,10.0,12.0,14.4,,,1.66,,B,B,-
2022,Médio,VW,T CROSS,HIGHLINE 250TSI AUTOMÁTICO,1.4-16V,Combustão,A - 6,F,8.2,10.0,11.8,14.2,,,1.69,,C,B,-
2022,Médio,VW,POLO,COMFORTLINE 200TSI AUTOMATIC,1.0-12V,Combustão,A - 6,F,8.4,10.3,12.2,15.1,,,1.62,,B,B,-
2022,Médio,VW,POLO,HIGHLINE 200TSI AUTOMATIC,1.0-12V,Combustão,A - 6,F,8.4,10.3,12.2,15.1,,,1.62,,B,B,-
2022,Médio,VW,POLO,MPI,1.0-12V,Combustão,M - 5,F,9.5,10.9,13.8,15.5,,,1.47,,A,B,SIM
2022,Médio,VW,POLO,GTS 250TSI AUTOMÁTICO,1.4-16V,Combustão,A - 6,F,8.0,10.0,11.6,14.2,,,1.71,,C,B,-
